12235923,11588230,13946381,14222920,14917277,3822389,21302477,21304638,21130785,14578426,14893,337374,14275133,21302352,21144047,1321846,14892076,13576775,6241497,21133979,14052636,21224291,21195793,21219990,10209381,21129632,21107534,21132965,14327465,7962050,21302479,947447,6080883,4895312,21317030,3889934,15142311,4634167,21131813,6632844,4664126,12770821,11575621,704808,21302469,180784,3827429,9680769,11261960,4078398,13744134,11110277,21320551,21320281,8725120,262755,3657657,160683,7688266,6586670,278936,12492310,2610619,21318294,13289738,40529,21327595,21357592,284685,14110147,21288388,919919,895206,21300316,15065340
神乐めあ,白上吹雪,夏色祭,Kanna,凑阿夸,有栖マナ,本间向日葵,神楽七奈,百鬼绫目,战斗吧歌姬,乌拉の帝国,綾奈なな,赤井心,静凛,樱巫女,魔宵さきゅ,龙胆尊,Siva_小虾鱼_,白音小雪,大神澪,ユメノシオリ,安堂いなり,mendako,亚绮-罗森,田中姬铃木雏,大空昴,癒月巧可,紫咲诗音,花園セレナ,森永みう,绿仙,高槻律,笹木咲,Paryi,音俣るか,爱夏なつ,莉姬リジ爱米莉,犬山玉姬,夜空梅露,ENA,萝卜子,千草はな,陆婉莹,Overidea_Chin,椎名唯华,千鈴めい,心斎桥オクト,物述有栖-爱丽丝,mugi,來夢めると,天神子兔音,YuNi,乙女oto,綴目日傘,古守chiyu,暁chiaki,Mochi Hiyoko,鸠子hatoko,KMNHZ,游戏部,月ノ美兔,樋口枫,喀秋莎秋明,萨莎柯里克,AnMr海外转播,幽灵子辰,清露ikuna,竹轮喵Official,乐喵Channel,兰若_Re,纸木姐妹,木糖纯和庄不纯,水漠豆腐,日月咪玉,花芽姐妹
1,1052,2248,541,9022,669,1,1,1,1,386,80,3678,1296,116,244,1,34,1,317,350,256,1,1,1,327,75,227,1,1,1,578,100,1719,85,66,44,1,1,1,1,1,1,1,1,180,339,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,4882,1795,824,7016,602,1,1,2735,1,386,51,1992,1,159,341,164,1,224,514,1,431,1,1,1,114,676,1,1042,468,80,1,1,529,1,164,1,680,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,2491,978,683,8191,291,1,1,1150,3252,443,99,1,552,106,61,85,1,583,647,1,1,1,2225,1,1,1080,368,501,1,1,1086,149,407,98,1,66,1098,1,1,115,477,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
4765,3454,940,521,6262,501,1,1,75,1,330,134,1,271,210,285,92,1,753,1,396,217,1,1847,1,492,1,254,1,1,119,459,126,1160,1,195,45,2519,791,1172,41,1,355,1,622,845,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
3566,3778,1,537,4781,617,1,1,222,1,274,46,292,736,1,658,299,281,1,416,381,1,1,134,1,1844,190,1,1499,209,43,77,285,1,95,1,47,1358,1,250,248,1159,153,1,8,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
2246,1876,1,467,360,631,769,1,486,1,43,60,1050,1092,199,182,146,169,87,525,766,1,190,300,1,155,1,244,1,300,1,1,360,1,106,121,1,1,1,72,1183,99,1,1,495,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,1532,831,900,3210,1134,1,1,1296,1,269,100,849,1,1625,219,143,1,266,701,252,143,1,106,1,223,1,498,292,1,1,610,190,866,1,83,99,1,1,1,83,249,1,1,256,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1660,1121,1096,303,3692,693,1316,1,1,1,267,120,536,1,586,130,95,189,1,430,1,1042,150,59,1,137,249,1,1,1,1,687,50,1,87,1,71,1,160,106,1,1,1,1,370,196,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,1835,291,342,2070,1,20,1,457,1,251,63,3102,385,472,215,148,1,241,1,684,1,135,1,1,137,194,217,367,425,90,78,1,508,1,122,1,249,153,122,111,114,1,1,1,1,1,1,76,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,3,3,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
