日期,神乐mea,凑阿夸,Kanna,战斗吧歌姬,夏色祭,綾奈nana,有栖mana,Paryi,森永miu,陆婉莹,纸木姐妹,Siva_小虾鱼_,赤井心,大神澪,兰若_Re,魔宵sakyu,shiori,安堂inari,爱夏natsu,花園serena,乌拉の帝国,某南,白音小雪,白上吹雪,千草hana,鸠子hatoko,木糖纯和庄不纯,田中姬铃木雏,静凛,高槻律,百鬼绫目,绿仙,mendako,萝卜子,莉姬リジ爱米莉,乙女oto,神楽七奈,心斎桥okuto,本间向日葵,ENA,癒月巧可,萨莎柯里克,犬山玉姬,紫咲诗音,亚绮-罗森,樱巫女,夜空梅露,椎名唯华,花芽姐妹,音俣ruka,物述有栖-爱丽丝,千鈴mei,日月咪玉,古守chiyu,綴目日傘,乐喵Channel,暁chiaki,水漠豆腐,月ノ美兔,竹轮喵Official,AnMr海外转播,Mochi Hiyoko,贝尔蒙德班德拉斯,龙胆尊,笹木咲,大空昴,KMNHZ,千寻炎哈,路人豆腐铺,天神子兔音,富士葵,清露ikuna,YuNi,美玲roa,Ame酱,宇志海莓,MEMproject,游戏部,喀秋莎秋明,赤星共和国連邦,花京院chieri,mugi,Overidea_China,森中花咲,fairys鹦鹉,幽灵子辰,來夢meruto,樋口枫,Hibiki AO,水科葵,水無瀬rui,Okome,野良喵noracat,藥袋karute,東雲恵,Azulim,未来明转播,VirtualReal,猫又小粥,陽向ここみ,皆守hiiro
2019/6/11,670.794,3218.84,9655.062,36.8,456.219,7658.34,86.1,6136.759,36.1,0,1429.84,1955.064,294.166,328,2287.798,68.8,0,722.7,322.4,3.2,334.2,338.391,2,2440.67,1.9,651.16,863.929,228.1,198,0,821.2,0.7,9.9,21.4,0,0,46.7,0,19.8,0,1482.5,0,145.32,357,0,72.2,0,198,0,29.8,0,0,0,0,11.62,0,11.6,0,0,3,0,0,0,0,5,0,23.1,0,5,0,0,0,0,1,0,9.9,0,0,0,0,0.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/12,242.9,85.133,5949.298,17,9.5,1284.64,9.9,408.3,49.9,0,623.42,550.2,10.4,120,1883.24,2658.462,0,2987.706,2507.18,0,432.8,264.719,0,257.7,0,9.9,5,218.1,346.72,2411.399,11,1233.429,198,0,0,0,41.2,0,50,0,0,284.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/13,1266.9,244.4,1667.499,203.5,9.9,2199.859,14.9,772.04,0,0,3224.799,837.679,30.84,149.9,635.566,0,0,1,446.711,6553.034,30,166.44,0,59.9,0,23.3,0,9.9,0,2202.102,1,0.1,1,0,0,0,53.6,0,9.9,0,4,0,0,46,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/14,1348.6,305.2,5436.044,14166.22,6.1,913.764,177,1896.786,23103.984,0,678.34,313.552,10.9,0,590.2,0,4963.192,0,289.1,278,0,98.338,61,450.7,65,459.8,221.266,5,5,15,5,0,0,0,911.092,0,431.8,0,69.8,0,0,218.766,0,37.9,0,0,0,0,91.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/15,614.3,17.6,110,38.8,9.9,3378.17,0,2136.2,0,12742.201,895.129,198,0,6.2,0,712.664,6.2,0,822.298,9.9,0,124.175,0,44.8,0,720.7,1.1,415.8,201.56,0,0,3,0,0,70.8,198,9.76,0,203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/16,1106.6,820.9,4136.353,11.1,5.72,2037.416,9.9,373.333,0,0.52,354.686,2251.983,21.084,9832.424,198,0,0,1998,0,52.5,0,285.76,5702.642,65.12,0,39.966,0,14.9,0,0,0.1,198,0,0,9.9,0,10.1,1915.991,58,0,0,456.266,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/17,1028.2,416.3,205.5,34.133,46044.584,3386.845,9.5,1409.817,0,982.603,878.366,519.8,15.9,207.9,0,0,198,1550.899,685.453,5,0,383.373,0,231.12,0,27,20.2,33.9,595,0,24.2,6,0,1,97.613,0,23.9,0,54.9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/18,874.9,489.6,11457.8,16.1,105.666,1724.768,2,2267.027,0,299.2,494.31,1761.996,20.8,164.4,1885.533,198,0,0,658.16,9.9,0,156.199,0,110.366,0,653.72,0,0,10,0,21.8,2,199,5,0,0,246.466,0,0,0,9.9,10,1,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/19,442.2,317.4,2131,4.1,21.9,1580.033,1,477.672,0,63.1,860.32,60.533,79.9,9.9,272.933,0,0,559.5,549.46,9.9,0,346.898,9.9,45,0,544.699,117.266,0,198,0,36.4,0,3,0,0,0,24.9,0,10,0,0,199.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,10.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/20,1008.378,667.2,9223.589,8.1,15324.177,8196.128,10.9,193.316,0,0,438.601,198,15167.154,0.626,823.246,5565.292,0,0,992.246,3614.284,5094.301,314.892,0,122,0,0,117.93,4287.196,9.9,0,218.8,0,199,0,0,198,215,0,0,0,6.3,0,10.9,0,9.9,0,1,0,0,0,198,0,0,198,0,1.626,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,6,0,0,0,0,0,0,0,9.9,3.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
